A1BG	3382
A1CF	9221
A2M	4610
A2ML1	5127
A3GALT2	1023
A4GALT	2092
A4GNT	1779
AAAS	1815
AACS	3256
AADAC	1563
AADACL2	8279
AADACL3	4055
AADACL4	2027
AADAT	2250
AAGAB	3132
AAK1	21157
AAMDC	522
AAMP	1760
AANAT	971
AAR2	2417
AARD	2291
AARS1	3437
AARS2	4798
AARSD1	1320
AASDH	3581
AASDHPPT	2767
AASS	5825
AATF	4124
AATK	5461
ABAT	4779
ABCA1	10408
ABCA10	6008
ABCA12	9298
ABCA13	17188
ABCA2	8103
ABCA3	6602
ABCA4	7328
ABCA5	8252
ABCA6	5321
ABCA7	6815
ABCA8	6002
ABCA9	6377
ABCB1	5205
ABCB10	3869
ABCB11	11132
ABCB4	4293
ABCB5	5350
ABCB6	2980
ABCB7	4592
ABCB8	4656
ABCB9	3484
ABCC1	13009
ABCC10	5043
ABCC11	5894
ABCC12	7385
ABCC2	5806
ABCC3	5693
ABCC4	5855
ABCC5	5790
ABCC6	10280
ABCC8	4921
ABCC9	8668
ABCD1	3669
ABCD2	6290
ABCD3	3604
ABCD4	3035
ABCE1	3887
ABCF1	23835
ABCF2	4527
ABCF3	2446
ABCG1	2976
ABCG2	4206
ABCG4	3812
ABCG5	2760
ABCG8	7180
ABHD1	1420
ABHD10	2604
ABHD11	1418
ABHD12	1960
ABHD12B	1815
ABHD13	5313
ABHD14A	1066
ABHD14B	1657
ABHD15	3492
ABHD16A	13837
ABHD16B	1491
ABHD17A	1706
ABHD17B	3065
ABHD17C	2361
ABHD18	5753
ABHD2	8424
ABHD3	2029
ABHD4	3051
ABHD5	5298
ABHD6	2198
ABHD8	2042
ABI1	3515
ABI2	6567
ABI3	1629
ABI3BP	6737
ABITRAM	1901
ABL1	5578
ABL2	12217
ABLIM1	7560
ABLIM2	3725
ABLIM3	4439
ABO	12817
ABR	15686
ABRA	2754
ABRACL	782
ABRAXAS1	4210
ABRAXAS2	2955
ABT1	2943
ABTB1	1962
ABTB2	4905
ACAA1	1699
ACAA2	2926
ACACA	20027
ACACB	9368
ACAD10	4006
ACAD11	3231
ACAD8	2176
ACAD9	2445
ACADL	2515
ACADM	2261
ACADS	1859
ACADSB	5848
ACADVL	2184
ACAN	8960
ACAP1	2511
ACAP2	7093
ACAP3	3793
ACAT1	1537
ACAT2	1520
ACBD3	3584
ACBD4	1827
ACBD5	3903
ACBD6	1293
ACBD7	3370
ACCS	2383
ACCSL	1820
ACD	1511
ACE	4962
ACE2	3339
ACER1	1428
ACER2	2773
ACER3	7333
ACHE	2172
ACIN1	4460
ACKR1	1146
ACKR2	2990
ACKR3	2015
ACKR4	2310
ACLY	4293
ACMSD	1252
ACO1	7443
ACO2	2734
ACOD1	2147
ACOT1	1686
ACOT11	3084
ACOT12	2086
ACOT13	4041
ACOT2	1622
ACOT4	1465
ACOT6	1370
ACOT7	1806
ACOT8	1154
ACOT9	4318
ACOX1	7317
ACOX2	2297
ACOX3	2872
ACOXL	2699
ACP1	1474
ACP2	2111
ACP3	3174
ACP4	1342
ACP5	1381
ACP6	6956
ACP7	2903
ACR	2860
ACRBP	1905
ACRV1	1936
ACSBG1	6215
ACSBG2	2734
ACSF2	2177
ACSF3	4095
ACSL1	3712
ACSL3	5577
ACSL4	4891
ACSL5	3253
ACSL6	6535
ACSM1	2081
ACSM2A	2894
ACSM2B	2935
ACSM3	2533
ACSM4	2349
ACSM5	2796
ACSM6	1675
ACSS1	3632
ACSS2	2885
ACSS3	8391
ACTA1	1491
ACTA2	1349
ACTB	1812
ACTBL2	2794
ACTC1	1382
ACTG1	1919
ACTG2	1501
ACTL10	1583
ACTL6A	1854
ACTL6B	1524
ACTL7A	1491
ACTL7B	1399
ACTL8	1841
ACTL9	1396
ACTN1	3722
ACTN2	4872
ACTN3	2882
ACTN4	9980
ACTR10	2408
ACTR1A	2830
ACTR1B	2204
ACTR2	3783
ACTR3	6589
ACTR3B	2213
ACTR3C	1157
ACTR5	2547
ACTR6	1737
ACTR8	3579
ACTRT1	1442
ACTRT2	1437
ACTRT3	1671
ACVR1	3332
ACVR1B	4531
ACVR1C	8853
ACVR2A	5214
ACVR2B	11782
ACVRL1	4177
ACY1	1422
ACY3	1371
ACYP1	580
ACYP2	1262
ADA	1496
ADA2	4355
ADAD1	1963
ADAD2	2018
ADAL	4268
ADAM10	11158
ADAM11	4614
ADAM12	7941
ADAM15	2936
ADAM17	4391
ADAM18	4800
ADAM19	6481
ADAM2	5220
ADAM20	2784
ADAM21	2647
ADAM22	9508
ADAM23	6334
ADAM28	7019
ADAM29	3325
ADAM30	2983
ADAM32	5048
ADAM33	3436
ADAM7	3367
ADAM8	3259
ADAM9	5835
ADAMDEC1	2348
ADAMTS1	5183
ADAMTS10	4251
ADAMTS12	9195
ADAMTS13	8798
ADAMTS14	5557
ADAMTS15	6006
ADAMTS16	4979
ADAMTS17	6329
ADAMTS18	5833
ADAMTS19	5201
ADAMTS2	7724
ADAMTS20	6358
ADAMTS3	6244
ADAMTS4	9777
ADAMTS5	9621
ADAMTS6	7309
ADAMTS7	5520
ADAMTS8	3628
ADAMTS9	7624
ADAMTSL1	7771
ADAMTSL2	3875
ADAMTSL3	7299
ADAMTSL4	4212
ADAMTSL5	2683
ADAP1	2349
ADAP2	2669
ADAR	6610
ADARB1	6902
ADARB2	8475
ADAT1	5757
ADAT2	6244
ADAT3	1599
ADCK1	3268
ADCK2	2574
ADCK5	3920
ADCY1	12657
ADCY10	5342
ADCY2	6645
ADCY3	4950
ADCY4	7420
ADCY5	6643
ADCY6	6092
ADCY7	6271
ADCY8	4421
ADCY9	7980
ADCYAP1	3259
ADCYAP1R1	6639
ADD1	4140
ADD2	9290
ADD3	4413
ADGB	5318
ADGRA1	4264
ADGRA2	6944
ADGRA3	4577
ADGRB1	6020
ADGRB2	5708
ADGRB3	6090
ADGRD1	5390
ADGRE1	3112
ADGRE2	6791
ADGRE3	2349
ADGRE5	3190
ADGRF1	5432
ADGRF2	5241
ADGRF3	4481
ADGRF4	3128
ADGRF5	5761
ADGRG1	4257
ADGRG2	4684
ADGRG3	2609
ADGRG4	9933
ADGRG5	3335
ADGRG6	6822
ADGRG7	3128
ADGRL1	7820
ADGRL2	7432
ADGRL3	13738
ADGRL4	3539
ADGRV1	19557
ADH1A	1454
ADH1B	4067
ADH1C	1454
ADH4	2002
ADH5	2652
ADH6	2802
ADH7	2119
ADHFE1	1972
ADI1	4080
ADIG	674
ADIPOQ	4542
ADIPOR1	2091
ADIPOR2	7942
ADIRF	627
ADK	1992
ADM	1492
ADM2	4213
ADM5	788
ADNP	6672
ADNP2	5157
ADO	3760
ADORA1	2901
ADORA2A	2529
ADORA2B	1522
ADORA3	1757
ADPGK	2608
ADPRH	3623
ADPRHL1	9722
ADPRM	1534
ADPRS	1651
ADRA1A	3770
ADRA1B	2507
ADRA1D	2942
ADRA2A	3879
ADRA2B	3696
ADRA2C	2142
ADRB1	3039
ADRB2	2013
ADRB3	2585
ADRM1	1379
ADSL	4359
ADSS1	1723
ADSS2	2555
ADTRP	1692
AEBP1	4097
AEBP2	5830
AEN	3072
AFAP1	7704
AFAP1L1	6024
AFAP1L2	3722
AFDN	7806
AFF1	9261
AFF2	13748
AFF3	10070
AFF4	9536
AFG1L	5048
AFG3L2	3160
AFM	1997
AFMID	1686
AFP	2426
AFTPH	4017
AGA	2037
AGAP1	10889
AGAP2	5430
AGAP3	3494
AGAP4	2535
AGAP5	2719
AGAP6	2684
AGAP9	2387
AGBL1	12330
AGBL2	7172
AGBL3	3533
AGBL4	2989
AGBL5	3188
AGER	9940
AGFG1	8677
AGFG2	4819
AGGF1	4490
AGK	6646
AGL	7091
AGMAT	3095
AGMO	2476
AGO1	13712
AGO2	14595
AGO3	19660
AGO4	7272
AGPAT1	15372
AGPAT2	1546
AGPAT3	6565
AGPAT4	7923
AGPAT5	10474
AGPS	7633
AGR2	1697
AGR3	738
AGRN	7326
AGRP	498
AGT	2116
AGTPBP1	4464
AGTR1	2324
AGTR2	2862
AGTRAP	1130
AGXT	2900
AGXT2	2219
AHCTF1	8887
AHCY	2150
AHCYL1	3943
AHCYL2	5049
AHDC1	6428
AHI1	6063
AHNAK	18761
AHNAK2	18335
AHR	6243
AHRR	5661
AHSA1	1337
AHSG	1574
AHSP	488
AICDA	2803
AIDA	2975
AIF1	3930
AIF1L	3374
AIFM1	2222
AIFM2	3134
AIFM3	2334
AIG1	2136
AIM2	1394
AIMP1	2773
AIMP2	1198
AIP	1236
AIPL1	2894
AIRE	2690
AJAP1	12102
AJM1	4642
